stdDay,sido,dayDefCnt,dayDeathCnt,totalDefCnt,totalDeathCnt
20210110,경기,230,0,15663,1007
20210110,강원,27,0,3175,1007
20210110,서울,199,0,20338,1007
20210110,인천,49,0,1356,1007
20210110,충북,32,0,1303,1007
20210110,경북,24,0,2531,1007
20210110,세종,0,0,154,1007
20210110,대전,8,0,882,1007
20210110,충남,18,0,1725,1007
20210110,전북,5,0,879,1007
20210110,대구,32,0,7956,1007
20210110,경남,21,0,1463,1007
20210110,광주,23,0,1234,1007
20210110,전남,4,0,596,1007
20210110,울산,4,0,749,1007
20210110,부산,15,0,2022,1007
20210110,제주,8,0,456,1007
20210110,검역,16,0,2497,1007
